filename,xmin,ymin,xmax,ymax,label
IMG_20251231_183029.jpg,321.0,952.0,876.0,2045.952,Athena
IMG_20260106_153435 (1).jpg,2.048,295.0,2045.952,1534.464,Athena
IMG_20260106_153434 (8).jpg,12.0,2.047,920.079,1216.0,Athena
PXL_20250307_235938563.jpg,410.0,1017.0,3541.0,2155.0,Athena
IMG_20251231_183049.jpg,300.0,645.0,1532.0,1938.0,Athena
IMG_20260106_153454 (1).jpg,1.14,196.0,1138.86,2044.953,Athena
PXL_20251231_212741399.jpg,398.0,1008.0,3682.0,2591.0,Athena
IMG_20260106_153450 (2).jpg,1.229,176.0,1227.771,2044.953,Athena
IMG_20260106_153446 (1).jpg,0.923,411.0,922.077,1406.0,Athena
IMG_20260106_153505.jpg,134.0,331.0,1064.0,1899.0,Athena
IMG_20260106_153434 (10).jpg,0.921,682.0,904.0,2044.953,Athena
IMG_20260106_153435.jpg,0.921,254.0,920.079,2043.0,Athena
IMG_20260106_153450 (1).jpg,2.047,0.921,2012.0,920.079,Athena
PXL_20251231_212730509.jpg,585.0,1060.0,2315.0,2608.0,Athena
IMG_20260106_153454 (4).jpg,1.036,670.0,1034.964,2043.954,Athena
IMG_20260106_153450.jpg,1.088,17.0,1086.912,1797.0,Athena
PXL_20260106_214626857.jpg,504.0,1611.0,3053.0,3524.0,Athena
IMG_20260106_153435 (4).jpg,103.0,441.0,1413.0,1179.0,Athena
PXL_20260106_214622474.jpg,1000.0,173.0,3065.0,3661.0,Athena
IMG_20260106_153434 (4).jpg,422.0,1.512,1521.0,1510.488,Athena
IMG_20260106_153446 (7).jpg,0.921,370.0,920.079,1983.0,Athena
IMG_20260106_153450 (4).jpg,0.921,139.0,920.079,1935.0,Athena
IMG_20260106_153806 (1).jpg,381.0,0.921,2044.953,920.079,Athena
IMG_20260106_153446 (4).jpg,233.0,480.0,681.0,1212.0,Athena
IMG_20260106_153439 (5).jpg,2.048,1.536,1673.0,1162.0,Athena
IMG_20251231_183035.jpg,1.536,840.0,1025.0,2015.0,Athena
PXL_20260106_214639922.jpg,1372.0,7.0,3615.0,2097.0,Athena
IMG_20260106_153434 (1).jpg,350.0,57.0,1061.0,1016.0,Athena
IMG_20260106_153446 (5).jpg,0.923,649.0,827.0,2044.953,Athena
IMG_20260106_153454 (2).jpg,10.0,381.0,933.0,2045.952,Athena
IMG_20260106_153446.jpg,0.923,331.0,922.077,1305.0,Athena
PXL_20250801_054125016.jpg,339.0,1421.0,2129.0,2726.0,Athena
IMG_20251231_183027.jpg,533.0,548.0,1269.0,1601.0,Athena
IMG_20251231_183033.jpg,409.0,1086.0,1128.0,1393.0,Athena
IMG_20260106_153434 (5).jpg,2.016,96.0,2013.984,1411.0,Athena
IMG_20260106_153454 (7).jpg,2.047,0.921,2044.953,920.079,Athena
PXL_20251231_212735978.MP.jpg,362.0,426.0,2316.0,3765.0,Athena
PXL_20260106_214629164.jpg,754.0,535.0,2247.0,2381.0,Athena
IMG_20251231_183030.jpg,615.0,266.0,1136.0,996.0,Athena
IMG_20260106_153442 (2).jpg,0.921,345.0,918.0,1336.0,Athena
IMG_20260106_153439 (3).jpg,2.048,299.0,2045.952,1534.464,Athena
IMG_20260106_153435 (5).jpg,337.0,494.0,1534.464,1709.0,Athena
IMG_20260106_153450 (3).jpg,0.921,2.047,920.079,1929.0,Athena
IMG_20260106_153439.jpg,0.921,670.0,827.0,1342.0,Athena
IMG_20260106_153435 (2).jpg,158.0,432.0,900.0,980.0,Athena
IMG_20260106_153454.jpg,425.0,0.921,2044.953,920.079,Athena
IMG_20251231_183044.jpg,134.0,91.0,1793.0,1531.0,Athena
PXL_20260106_214620262.jpg,1148.0,7.0,4075.92,2218.0,Athena
IMG_20260106_153434 (2).jpg,412.0,502.0,1306.0,848.0,Athena
